eNodeB Name,4G Payload (GB) [sum],DL PRB Usage(%) [mean],Average Users [sum],eNodeB Name [list],eNodeB Name [count],eNodeB Name [nunique],Cell Name [list],Cell Name [count],Cell Name [nunique]
0_0LT001,471.78516,54.17537,1195.9495,['0_0LT001'],48,1,['VAQPOB1' 'VAQPOB2'],48,2
0_1LT001,1452.793,52.0344,3429.4375,['0_1LT001'],144,1,['OLP3QA1' 'OLP3QB1' 'OLP3QA2' 'OLP3QB2' 'OLP3QA3' 'OLP3QB3'],144,6
0_2LT001,1413.6929,48.605556,4086.415,['0_2LT001'],144,1,['L9OQAA1' 'L9OQAB1' 'L9OQAA2' 'L9OQAB2' 'L9OQAA3' 'L9OQAB3'],144,6
1_0LT001,2299.948,48.30704,5025.7275,['1_0LT001'],216,1,"['9AG1QA1' '9AG1QB1' '9AG1QD1' '9AG1QA2' '9AG1QB2' '9AG1QD2' '9AG1QA3'
 '9AG1QB3' '9AG1QD3']",216,9
1_1LT001,2221.86,47.050438,5466.855,['1_1LT001'],216,1,"['PO19VA1' 'PO19VB1' 'PO19VD1' 'PO19VA2' 'PO19VB2' 'PO19VD2' 'PO19VA3'
 'PO19VB3' 'PO19VD3']",216,9
1_2LT001,1473.8347,45.26336,3707.3003,['1_2LT001'],144,1,['POV39A1' 'POV39B1' 'POV39A2' 'POV39B2' 'POV39A3' 'POV39B3'],144,6
2_0LT001,2213.7546,50.61142,5560.955,['2_0LT001'],216,1,"['L9AVGA1' 'L9AVGB1' 'L9AVGD1' 'L9AVGA2' 'L9AVGB2' 'L9AVGD2' 'L9AVGA3'
 'L9AVGB3' 'L9AVGD3']",216,9
2_1LT001,992.6666,52.31341,2645.7634,['2_1LT001'],96,1,['VOQG3B1' 'VOQG3D1' 'VOQG3B2' 'VOQG3D2'],96,4
2_2LT001,546.71014,58.809353,1344.9252,['2_2LT001'],48,1,['O3GPLB1' 'O3GPLB2'],48,2
2_3LT001,2118.4731,51.697536,5487.503,['2_3LT001'],216,1,"['AG31VA1' 'AG31VB1' 'AG31VD1' 'AG31VA2' 'AG31VB2' 'AG31VD2' 'AG31VA3'
 'AG31VB3' 'AG31VD3']",216,9
3_0LT001,1320.2125,52.742332,3351.4346,['3_0LT001'],144,1,['13AVPA1' '13AVPB1' '13AVPA2' '13AVPB2' '13AVPA3' '13AVPB3'],144,6
3_1LT001,2182.1042,49.49798,5448.1646,['3_1LT001'],216,1,"['P19VOA1' 'P19VOB1' 'P19VOC1' 'P19VOA2' 'P19VOB2' 'P19VOC2' 'P19VOA3'
 'P19VOB3' 'P19VOC3']",216,9
4_0LT001,2153.1772,48.408443,5394.4956,['4_0LT001'],216,1,"['3GLPQA1' '3GLPQB1' '3GLPQD1' '3GLPQA2' '3GLPQB2' '3GLPQD2' '3GLPQA3'
 '3GLPQB3' '3GLPQD3']",216,9
4_1LT001,525.8524,40.55255,1205.3542,['4_1LT001'],48,1,['QA9O3B1' 'QA9O3B2'],48,2
5_0LT001,1425.7043,50.608505,3371.6392,['5_0LT001'],144,1,['VQA1PA1' 'VQA1PB1' 'VQA1PA2' 'VQA1PB2' 'VQA1PA3' 'VQA1PB3'],144,6
5_1LT001,2149.801,47.94272,5174.361,['5_1LT001'],216,1,"['3O9PVA1' '3O9PVB1' '3O9PVD1' '3O9PVA2' '3O9PVB2' '3O9PVD2' '3O9PVA3'
 '3O9PVB3' '3O9PVD3']",216,9
5_2LT001,2196.3408,47.056244,5529.6006,['5_2LT001'],216,1,"['Q1VO3A1' 'Q1VO3B1' 'Q1VO3D1' 'Q1VO3A2' 'Q1VO3B2' 'Q1VO3D2' 'Q1VO3A3'
 'Q1VO3B3' 'Q1VO3D3']",216,9
6_0LT001,2276.0415,49.62702,5589.3677,['6_0LT001'],216,1,"['19OPLA1' '19OPLB1' '19OPLD1' '19OPLA2' '19OPLB2' '19OPLD2' '19OPLA3'
 '19OPLB3' '19OPLD3']",216,9
6_1LT001,1349.2474,47.158875,3356.9111,['6_1LT001'],144,1,['Q193AA1' 'Q193AB1' 'Q193AA2' 'Q193AB2' 'Q193AA3' 'Q193AB3'],144,6
6_2LT001,2519.576,50.76701,5683.1655,['6_2LT001'],240,1,"['AL1P3B1' 'AL1P3C1' 'AL1P3B2' 'AL1P3C2' 'AL1P3B3' 'AL1P3C3' 'AL1P3B4'
 'AL1P3C4' 'AL1P3B5' 'AL1P3C5']",240,10
7_0LT001,463.22763,53.42847,1333.5566,['7_0LT001'],48,1,['VG3POB1' 'VG3POB2'],48,2
7_1LT001,2086.669,51.2607,4964.9097,['7_1LT001'],216,1,"['9OA1GA1' '9OA1GB1' '9OA1GD1' '9OA1GA2' '9OA1GB2' '9OA1GD2' '9OA1GA3'
 '9OA1GB3' '9OA1GD3']",216,9
7_2LT001,2172.6345,47.881184,5298.2217,['7_2LT001'],216,1,"['1Q9P3A1' '1Q9P3B1' '1Q9P3D1' '1Q9P3A2' '1Q9P3B2' '1Q9P3D2' '1Q9P3A3'
 '1Q9P3B3' '1Q9P3D3']",216,9
7_3LT001,1401.7004,52.714535,3614.96,['7_3LT001'],144,1,['Q3GA1A1' 'Q3GA1B1' 'Q3GA1A2' 'Q3GA1B2' 'Q3GA1A3' 'Q3GA1B3'],144,6
8_0LT001,456.4636,49.15241,1168.9625,['8_0LT001'],48,1,['OPL3GB1' 'OPL3GB2'],48,2
8_1LT001,2270.1519,50.471115,5624.6274,['8_1LT001'],216,1,"['QVL39A1' 'QVL39B1' 'QVL39C1' 'QVL39A2' 'QVL39B2' 'QVL39C2' 'QVL39A3'
 'QVL39B3' 'QVL39C3']",216,9
9_0LT001,2155.4072,48.207993,5329.2793,['9_0LT001'],216,1,"['QV91AA1' 'QV91AB1' 'QV91AC1' 'QV91AA2' 'QV91AB2' 'QV91AC2' 'QV91AA3'
 'QV91AB3' 'QV91AC3']",216,9
9_1LT001,2162.9463,48.98277,5843.9956,['9_1LT001'],216,1,"['OGV9QA1' 'OGV9QB1' 'OGV9QC1' 'OGV9QA2' 'OGV9QB2' 'OGV9QC2' 'OGV9QA3'
 'OGV9QB3' 'OGV9QC3']",216,9
10_0LT001,1125.8273,50.345303,2345.596,['10_0LT001'],96,1,['AGVQ3B1' 'AGVQ3D1' 'AGVQ3B2' 'AGVQ3D2'],96,4
10_1LT001,2101.8367,50.79378,5294.1553,['10_1LT001'],216,1,"['QGP3OA1' 'QGP3OB1' 'QGP3OC1' 'QGP3OA2' 'QGP3OB2' 'QGP3OC2' 'QGP3OA3'
 'QGP3OB3' 'QGP3OC3']",216,9
10_2LT001,2088.3665,52.148323,5158.5957,['10_2LT001'],216,1,"['O1VP9A1' 'O1VP9B1' 'O1VP9C1' 'O1VP9A2' 'O1VP9B2' 'O1VP9C2' 'O1VP9A3'
 'O1VP9B3' 'O1VP9C3']",216,9
11_0LT001,2276.996,49.638092,5052.145,['11_0LT001'],216,1,"['91OA3A1' '91OA3B1' '91OA3C1' '91OA3A2' '91OA3B2' '91OA3C2' '91OA3A3'
 '91OA3B3' '91OA3C3']",216,9
11_1LT001,2270.6143,50.173958,5212.6714,['11_1LT001'],216,1,"['LA9P1A1' 'LA9P1B1' 'LA9P1C1' 'LA9P1A2' 'LA9P1B2' 'LA9P1C2' 'LA9P1A3'
 'LA9P1B3' 'LA9P1C3']",216,9
11_2LT001,2179.2622,49.518818,5480.224,['11_2LT001'],216,1,"['O3G1QA1' 'O3G1QB1' 'O3G1QC1' 'O3G1QA2' 'O3G1QB2' 'O3G1QC2' 'O3G1QA3'
 'O3G1QB3' 'O3G1QC3']",216,9
12_0LT001,999.9916,54.073013,2462.2327,['12_0LT001'],96,1,['PL93OB1' 'PL93OD1' 'PL93OB2' 'PL93OD2'],96,4
